Spill / Vessel,Location,Dates,Min Tonnes,Max Tonnes,Owner,Trading Name,Notes
El Palito Refinery,"Venezuela, Golfo Triste",8-Aug-20,"2,700","2,700",Petróleos de Venezuela,,state owned
2020 Pointe D'Esny MV Wakashio oil spill,"Mauritius, Ile Aux Aigrettes and Mahebourg",25-Jul-20,"1,300","4,300","Wakashio Suisan Company Limited, Kagoshima, Japan",,Fishing company
Trans Mountain oil spill,"Canada, British Columbia, Abbotsford",14-Jun-20,118.5,184.87,Trans Mountain,,Pipeline
Norilsk diesel fuel spill,"Russia, Norilsk, Krasnoyarsk Krai",29-May-20,"17,500","17,500",Nornickel,NILSY,diesel spill
Tanker truck pumping out sludge from a vessel,"New Zealand, Tauranga, Bay of Plenty",30-Mar-20,1.7,1.7,,,NMAR unknown owner
T.G. Williams Well No. 1 tank battery,"United States, Oakland Creek, Longview",30-Mar-20,unknown,unknown,Fortune Resources,,NMAR amount unknown
Greka Energy oil facility,"United States, Santa Maria",30-Mar-20,,,Greka,GRKA,NMAR small spill amount unknown
True Oil pipeline,"United States, North Dakota, Red Wing Creek",27-Mar-20,unknown,unknown,True Oil LLC,,NMAR amount not given
Tanker truck rollover,"United States, Santa Maria, Cuyama River",21-Mar-20,14.6,19.5,,,NMAR company not given
Keystone Pipeline 2019 spill,"United States, Walsh County, North Dakota",29-Oct-19,"1,240","1,240",TransCanada Corporation,TRP,
Willowton Oil,"South Africa, KwaZulu-Natal, near Pietermaritzburg and Durban",19-Aug,unknown,unknown,Willowton Group,,NMAR amount and exact dates not given
North East Brazil oil spill (suspected source: NM Bouboulina),"Brazil, 733Â km from Paraiba",29-Jul-19,unknown,unknown,Delta Tankers Ltd.,,NMAR source only suspected
Guarello Island iron ore export terminal diesel spill,"Chile, Guarello Island, Magallanes Region",27-Jul-19,35.4,35.4,Compañía de Acero del Pacífico,CAP.SN,
MV Chrysanthi S bunkering spill at sea,"South Africa, Algoa Bay, Port of Ngqura",6-Jul-19,0.2,0.4,SA Marine Fuels (bunkering service company),,fuel spill
MV Solomon Trader fuel oil spill,"Solomon Islands, Rennell Island",5-Feb-19,75,80,South Express Ltd,,appears privately held
SeaRose FPSO production ship spill,"Canada, St. John's, Newfoundland and Labrador",16-Nov-18,219,219,Husky Energy,HSE.TO,
Ulysse-Virginia collision,North of Corsica (international waters),18-Oct,,,,,both appear privately held
Port Erin diesel spill (source unknown),Isle of Man,23-Jul-18,unknown,unknown,unknown,,NMAR source unknown
"Doon, Iowa derailment","United States, Lyon County, Iowa",22-Jun-18,520,520,BNSF Railway,,not publicly traded at time of incident
Sanchi oil tanker collision with CF Crystal,East China Sea,6-Jan-18,"138,000","138,000",National Iranian Tanker Company,,state owned
Keystone Pipeline 2017 spill,"United States, Marshall County, South Dakota",16-Nov-17,"1,322","1,322",TransCanada Corporation,TRP,
